nama_daerah,AHHL,AHHP,HLS,IPM,PPM
Barru,67.04,71.02,13.63,73.06,8.31
Batang,72.89,76.65,12.17,70.74,8.73
Batang Hari,68.7,72.56,12.97,71.67,8.63
Batu Bara,65.13,69.02,13.12,70.83,10.94
Bekasi,71.99,75.63,13.18,76.44,4.8
Belitung,69.09,73,12.09,74.47,6.11
Belitung Timur,70.15,74,11.69,73.19,6.36
Belu,63,66.71,12.32,64.43,13.86
Bener Meriah,67.27,71.14,13.73,75.01,18.18
Bengkalis,69.28,73.11,13.44,75.28,6.36
Bengkayang,72.06,75.58,12.22,70.3,6
Bengkulu Selatan,65.86,70.01,13.66,72.35,17.1
Bengkulu Tengah,66.14,70.25,13.47,69.84,10.14
Bengkulu Utara,66.2,70.23,12.92,71.11,10.96
Berau,70.34,74.13,13.37,76.66,5.08
Biak Numfor,66.17,70.24,14.24,73.98,23.46
Bima,64.59,68.37,13.66,68.94,13.88
Bintan,68.41,72.41,13.45,76.18,5.44
Bireuen,69.26,73.14,14.88,74.45,12.1
Blitar,71.69,75.43,12.67,73.09,8.16
Blora,72.66,76.35,12.6,71.39,11.42
Boalemo,67.34,71.21,12.49,68.74,17.83
Bogor,69.52,73.25,12.75,72.39,7.05
Bojonegoro,69.75,73.6,13.18,71.78,11.69
Bolaang Mongondow,67.43,71.35,11.65,70.29,7.74
Bolaang Mongondow Selatan,62.67,66.35,12.34,67.14,11.33
Bolaang Mongondow Timur,65.83,69.87,11.91,68.53,5.87
Bolaang Mongondow Utara,65.7,69.66,12.39,69.32,7.88
Bombana,66.93,71.2,11.91,68.15,10.54
Bondowoso,64.85,68.81,13.33,68.65,12.6
Bone,65.16,69.14,13.02,68.36,9.58
Bone Bolango,66.38,70.46,13.69,72.38,14.8
Boven Digoel,58.53,62.07,11.67,64.26,19.24
Boyolali,74.24,77.96,12.67,75.96,9.63
Brebes,67.64,71.44,12.45,68.46,15.6
Buleleng,69.99,73.8,13.3,74.52,5.39
Bulukumba,66.05,70.06,13.45,71.97,6.71
Bulungan,71.69,73.65,13.25,73.34,8.76
Bungo,65.87,69.81,12.67,71.92,5.06
Buol,67.04,70.98,13.18,70.28,13.08
Buru,64.43,68.3,13.24,71.01,16.08
Buru Selatan,64.37,68.26,12.85,67.09,14.91
Buton,66.23,70.53,13.89,68.88,13.99
Buton Selatan,65.54,69.73,13.36,67,14.28
Buton Tengah,65.53,69.7,13.22,66.47,14.4
Buton Utara,68.81,73.04,13.32,70.6,14.09
Ciamis,70.19,73.91,14.3,72.56,7.39
Cianjur,68.45,72.23,12.04,67.24,10.14
Cilacap,72.05,75.75,12.69,72.38,10.68
Cirebon,70.34,74.07,12.42,71.44,11
D I YOGYAKARTA,73.27,76.89,15.7,81.55,10.83
DKI JAKARTA,71.21,74.91,13.51,83.08,4.3
Dairi,67.2,71.08,13.53,73.92,7.1
Deiyai,63.48,67.23,9.86,52.07,39.01
Deli Serdang,69.88,73.65,13.4,76.92,3.44
Demak,73.64,77.37,13.36,74.57,11.89
Dharmasraya,69.55,73.41,12.89,74.06,5.32
Dogiyai,63.97,67.72,10.63,57.68,30.03
Dompu,65.07,68.86,13.84,70.78,11.59
Donggala,65.53,69.38,12.62,67.45,15.3
Empat Lawang,63.2,66.99,12.11,67.25,10.78
Ende,63.56,67.24,13.83,69.11,22.57
Enrekang,68.92,72.82,13.88,74.61,11.25
Fakfak,66.58,70.42,14.79,70.39,20.86
Flores Timur,63.42,67.16,12.96,66.29,11.25
GORONTALO,66.27,70.21,13.17,71.23,14.57
Garut,69.74,73.48,12.17,68.79,9.68
Gayo Lues,63.55,67.4,14.59,69.83,18.3
Gianyar,71.87,75.56,14.11,79.82,4
Gorontalo,65.46,69.65,13.22,69.66,16.43
Gorontalo Utara,64.02,67.79,12.5,67.46,16.86
Gowa,68.43,72.33,13.71,72.26,6.85
Gresik,70.71,74.53,13.98,78.45,10.32
Grobogan,73,76.66,12.48,72.02,11.43
Gunung Kidul,72.26,76.02,13.4,71.89,15.18
Gunung Mas,68.38,72.37,12.1,72.73,5.68
Halmahera Barat,64.37,68.22,13.25,67.53,8.75
Halmahera Selatan,63.97,67.79,13.04,66.66,5.63
Halmahera Tengah,62.24,66,13.52,68.45,10.71
Halmahera Timur,67.11,71,12.89,69.58,11.91
Halmahera Utara,67.6,71.54,13.69,69.78,4.71
Hulu Sungai Selatan,64.19,68.01,12.48,71.21,3.38
Hulu Sungai Tengah,64.3,68.07,12.31,70.69,5.81
Hulu Sungai Utara,62.22,65.94,13.21,68.28,5.75
Humbang Hasundutan,67.45,71.42,13.46,71.59,8.44
Indragiri Hilir,65.94,69.95,12.21,68.38,5.66
Indragiri Hulu,68.24,72.17,12.6,71.48,6.02
Indramayu,70.01,73.72,12.32,69.83,11.93
Intan Jaya,63.61,67.55,7.7,50.71,41.42
JAMBI,69.33,73.19,13.14,73.43,7.1
JAWA BARAT,71.57,75.19,12.8,74.43,7.46
JAWA TENGAH,72.61,76.42,12.86,73.88,10.47
JAWA TIMUR,69.51,73.35,13.43,74.09,9.79
Jayapura,64.93,69.08,14.59,74.11,11.6
Jayawijaya,58.13,61.63,12.85,61.03,32.28
Jember,67.24,71.21,13.5,69.15,9.01
